For Example 36, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0059, 0.1445, 0.0210, 0.3377, 0.2098, 0.0037, 0.1383, 0.0183, 0.0837, 0.1853, 0.0560, 0.1147, 0.2066, 0.5182, 0.0000, 0.0083, 0.0216, 0.0031, 0.0936, 0.0000, 0.0014, 0.0598, 0.2807, 0.0000, 0.3669, 0.2058, 0.0985, 0.0880, 0.1304, 0.2046, 0.0180, 0.0001]
For Example 37, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0008, 0.0157, 0.0000, 0.0000, 0.0527, 0.1549, 0.0002, 0.3692, 0.1065, 0.5518, 0.2115, 0.3548, 0.3449, 0.0000, 0.0007, 0.1063, 0.3356, 0.0002, 0.0541, 0.1224, 0.0204, 0.1180, 0.0049, 0.3183, 0.0088, 0.2147, 0.0001, 0.2460, 0.0058, 0.0170, 0.0056, 0.0005]
For Example 38, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0013, 0.0163, 0.0000, 0.0000, 0.0146, 0.1306, 0.1461, 0.0000, 0.0177, 0.0415, 0.0784, 0.0154, 0.0669, 0.0166, 0.2326, 0.1955, 0.0748, 0.0000, 0.0472, 0.5417, 0.0000, 0.0355, 0.0000, 0.0319, 0.0420, 0.0081, 0.0790, 0.0122, 0.0117, 0.0527, 0.0035, 0.0238]
For Example 39, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0024, 0.0036, 0.1054, 0.2133, 0.1347, 0.0562, 0.0222, 0.0115, 0.1367, 0.0165, 0.0118, 0.0029, 0.0186, 0.0000, 0.0080, 0.0015, 0.0451, 0.0052, 0.0019, 0.0251, 0.0000, 0.0072, 0.0000, 0.0015, 0.0098, 0.0027, 0.0114, 0.0249, 0.0094, 0.0065, 0.0041, 0.0085]
For Example 40, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0030, 0.0268, 0.0050, 0.1365, 0.5919, 0.0000, 0.0153, 0.0225, 0.0373, 0.2888, 0.0602, 0.0001, 0.0333, 0.0003, 0.0047, 0.0020, 0.0841, 0.0372, 0.0336, 0.0780, 0.1041, 0.0837, 0.1351, 0.0000, 0.0000, 0.0136, 0.0097, 0.0637, 0.2481, 0.3042, 0.0147, 0.0013]
For Example 41, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0039, 0.0107, 0.0190, 0.8079, 1.5717, 0.3334, 0.0931, 0.1196, 0.0129, 0.3280, 0.0024, 0.0302, 0.0106, 0.0042, 0.0157, 0.0056, 0.0309, 0.0204, 0.1210, 0.0112, 0.3364, 0.0194, 0.0462, 0.0802, 0.3242, 0.0119, 0.0019, 0.0040, 0.0008, 0.0128, 0.1103, 0.0332]
For Example 42, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0029, 0.0078, 0.0107, 0.4906, 0.4415, 0.0226, 0.0850, 0.1029, 0.0512, 1.0910, 0.3236, 0.5936, 0.7240, 0.0702, 0.0011, 0.0148, 0.0245, 0.0324, 0.2431, 0.1509, 0.1712, 0.0000, 0.0001, 0.0928, 0.6066, 0.0675, 0.0549, 0.0023, 0.1372, 0.0000, 0.0000, 0.1311]
For Example 43, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0030, 0.0483, 0.2056, 0.5302, 0.7335, 0.0014, 0.2034, 0.0666, 0.5949, 0.0015, 0.6496, 0.5065, 0.1311, 0.2421, 0.0501, 0.0156, 0.0017, 0.0134, 0.0318, 0.0319, 0.0002, 0.0405, 0.1754, 0.0702, 0.0906, 0.0146, 0.0441, 0.0572, 0.3360, 0.1902, 0.0192, 0.0574]
For Example 44, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0154, 0.0509, 0.0111, 1.2063, 0.2240, 0.2698, 0.1776, 0.2707, 0.1177, 0.0426, 0.0085, 0.0430, 0.0151, 0.0167, 0.1882, 0.0000, 0.0259, 0.0271, 0.0432, 0.0000, 0.0000, 0.0110, 0.0128, 0.0022, 0.0124, 0.0094, 0.1570, 0.0000, 0.3953, 0.3653, 1.0784, 0.1514]
For Example 45, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0010, 0.0119, 0.0000, 0.0000, 0.0012, 0.0550, 0.0270, 0.0122, 0.0238, 0.0246, 0.0707, 0.0915, 0.8504, 0.0237, 0.0243, 0.0250, 0.0042, 0.0693, 0.0137, 0.0183, 0.0035, 0.0170, 0.0561, 0.0000, 0.0089, 0.0025, 0.0081, 0.0008, 0.0034, 0.0152, 0.0015, 0.0253]
For Example 46, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0047, 0.0169, 0.0000, 0.0081, 0.2046, 0.0711, 0.1208, 0.0598, 0.0027, 0.0444, 0.0477, 0.1289, 0.0001, 0.0677, 0.3902, 0.4136, 0.0000, 0.0134, 0.3998, 0.4969, 0.0004, 0.0093, 0.0124, 0.0052, 0.0030, 0.0003, 0.0762, 0.0357, 0.0033, 0.0220, 0.0350, 0.0000]
For Example 47, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0036, 0.0251, 0.0171, 0.4569, 0.2243, 0.0215, 0.0831, 0.0286, 0.0185, 0.2865, 0.2759, 0.0080, 0.1010, 0.1216, 0.0743, 0.4598, 0.0408, 0.3862, 0.0913, 0.0673, 0.0111, 0.0477, 0.0153, 0.0376, 0.0001, 0.0918, 0.1169, 0.0000, 0.1068, 0.0652, 0.0085, 0.0178]
For Example 48, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0125, 0.0746, 0.0093, 0.9918, 0.0474, 0.1137, 0.1922, 0.6378, 0.7692, 0.2793, 0.0533, 0.0079, 0.0174, 0.1720, 0.0028, 0.5241, 0.1566, 0.0149, 0.0107, 0.1386, 0.0550, 0.0302, 0.1913, 0.0001, 0.0092, 0.0071, 0.0403, 0.0047, 0.0254, 0.0030, 0.1336, 0.0565]
For Example 49, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0009, 0.0396, 0.0104, 0.2057, 0.0661, 0.2352, 0.1459, 0.1606, 0.4202, 0.0227, 0.0316, 0.0824, 0.0000, 0.0667, 0.0858, 0.0723, 0.0013, 0.6613, 0.1228, 0.3134, 0.0152, 0.0217, 0.0881, 0.0196, 0.1133, 0.0185, 0.0215, 0.1072, 0.0131, 0.0382, 0.0000, 0.0594]
For Example 50, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0103, 0.0166, 0.0077, 1.6822, 0.0008, 0.1226, 0.0000, 0.2360, 0.2149, 1.7406, 0.6729, 0.0941, 0.0341, 0.0177, 0.0091, 0.0090, 0.1817, 0.1311, 0.0000, 0.1039, 0.3355, 0.2077, 0.0041, 0.0000, 0.0126, 0.0000, 0.0064, 0.0273, 0.2531, 0.0000, 0.0508, 0.1365]
