For Example 46, The full renyi 0.5 token for inst_desp method is: [5.9295, 2.8572, 4.9497, 4.0956, 6.5074, 4.8714, 1.8247, 0.7627, 4.5602, 4.7185, 5.5903, 6.5290, 7.0001, 3.7921, 2.0502, 1.9793, 3.1686, 2.1409, 5.1747, 1.8849, 1.0979, 2.7927, 2.6798, 5.1753, 0.8974, 4.2389, 4.6358, 5.2872, 5.4380, 4.3910, 4.1320, 5.8540, 0.8941, 5.2426, 4.3038, 2.6409, 3.0317, 5.1282, 4.4009, 6.0858, 3.8628, 4.1596, 0.6654, 2.6183, 4.9205, 4.1892]
For Example 47, The full renyi 0.5 token for inst_desp method is: [5.4030, 3.1363, 5.2439, 3.8216, 5.7916, 4.5984, 1.5769, 0.6898, 4.3996, 4.4485, 4.9722, 6.2677, 7.3506, 3.2843, 2.2385, 1.5720, 1.8760, 0.8714, 2.1707, 4.6343, 3.7967, 4.3314, 0.8714, 4.1173, 5.3831, 4.4035, 5.5396, 0.9494, 4.0049, 3.4793, 2.7683, 1.6196, 3.1066, 1.0004, 2.9823, 2.8872, 3.5046, 3.9051, 5.1824, 4.0954, 5.7531, 4.2514, 4.3924, 2.3210, 2.9117, 3.0976]
For Example 50, The full renyi 0.5 token for inst_desp method is: [5.6284, 3.0132, 5.0056, 3.6906, 5.7630, 4.8207, 1.7471, 0.7288, 4.5419, 4.5260, 4.0623, 6.3634, 6.4528, 3.6385, 2.0165, 1.8003, 2.9018, 0.6018, 0.5908, 1.3771, 3.4138, 3.7285, 2.3742, 3.7457, 0.7584, 3.8514, 3.5847, 3.3404, 4.7720, 0.6790, 3.7932, 2.1329, 0.6065, 2.7862, 3.9161, 1.3283, 3.6795, 4.2097, 0.6117, 0.6519, 0.5603, 4.6188, 3.5479, 1.6523, 3.4992, 2.5973]
For Example 52, The full renyi 0.5 token for inst_desp method is: [6.2655, 2.5462, 4.9787, 4.1279, 6.2105, 4.8540, 1.7357, 0.7486, 4.5172, 4.4636, 5.5022, 6.3211, 7.3872, 3.7609, 2.3668, 1.8173, 2.8386, 3.2691, 4.8383, 3.7746, 4.6207, 5.4125, 5.2029, 4.2501, 5.1167, 4.2990, 0.6545, 4.3874, 4.3329, 3.0579, 4.9483, 3.8407, 6.0657, 1.0394, 4.2038, 6.0947, 4.2977, 2.9059, 6.5789, 4.0452, 4.5362, 0.8413, 2.7532, 5.2159, 1.6628, 4.6640]
For Example 58, The full renyi 0.5 token for inst_desp method is: [5.6034, 2.8279, 5.2528, 3.6491, 6.3498, 4.8243, 1.7174, 0.7335, 4.4158, 4.7447, 6.6776, 6.1362, 7.4176, 3.7202, 2.1805, 2.0543, 3.3828, 2.6051, 6.4361, 5.6874, 3.6536, 3.7583, 5.0166, 0.7497, 2.5234, 3.5277, 5.6108, 4.6314, 6.5285, 2.7899, 3.3556, 4.6323, 1.1454, 1.6589, 2.5473, 4.0194, 4.5539, 4.1306, 6.1919, 0.6705, 4.6042, 2.7898, 3.7139, 1.9292, 1.4266, 3.3727]
For Example 60, The full renyi 0.5 token for inst_desp method is: [5.7415, 2.8595, 5.1347, 4.0400, 6.3600, 4.7439, 1.7122, 0.7319, 4.4814, 4.9092, 5.7050, 6.3688, 7.5213, 3.9598, 1.8877, 2.0602, 3.1848, 1.7708, 5.0257, 4.5835, 5.2618, 4.1299, 3.5203, 4.7396, 5.4843, 6.1673, 2.8847, 4.8305, 5.1723, 2.9488, 4.1080, 5.2061, 4.6038, 6.0257, 1.9715, 6.0181, 2.3656, 5.0167, 2.0728, 3.9477, 1.4309, 4.3110, 5.9389, 3.8461, 1.5201, 3.6163]
For Example 61, The full renyi 0.5 token for inst_desp method is: [6.0201, 3.1539, 4.9351, 4.2368, 6.4850, 4.8413, 1.8364, 0.7794, 4.5599, 4.7122, 5.0628, 6.5780, 6.3572, 4.0033, 2.1183, 2.0436, 3.0313, 1.4622, 4.8151, 1.8317, 1.0172, 2.9380, 1.8141, 4.6455, 0.8166, 4.0063, 4.5390, 5.1238, 5.4165, 3.6776, 3.8408, 5.5012, 3.9178, 3.5690, 5.2754, 3.4523, 4.7960, 4.3569, 2.7448, 2.8030, 5.0608, 4.2632, 5.5070, 3.1033, 1.9824, 2.1530]
For Example 63, The full renyi 0.5 token for inst_desp method is: [5.9855, 2.9499, 5.0600, 4.0487, 6.1931, 4.9728, 1.7939, 0.7799, 4.6078, 4.6709, 4.6088, 6.2832, 8.0267, 3.8146, 2.1195, 2.2857, 2.8962, 1.6887, 4.4806, 4.5824, 2.9861, 0.6095, 4.6877, 0.6866, 3.3586, 2.0517, 4.0458, 4.0573, 5.6125, 4.8241, 5.3266, 1.2266, 5.7223, 3.4714, 3.4825, 4.7467, 4.0908, 6.0526, 0.6751, 4.5881, 3.0230, 4.1256, 1.8563, 1.8983, 4.0524, 2.7010]
For Example 65, The full renyi 0.5 token for inst_desp method is: [5.9730, 3.0754, 4.9132, 3.7287, 6.1292, 4.9174, 1.7795, 0.7555, 4.5805, 4.5635, 4.4845, 6.3835, 6.9872, 3.6094, 2.2455, 2.5679, 3.2127, 2.1042, 3.6625, 1.1598, 0.7899, 4.2536, 2.8438, 3.0857, 5.3633, 4.7102, 5.5858, 4.6793, 4.1943, 5.0136, 5.6725, 3.4631, 4.4382, 3.9802, 5.2186, 4.2167, 3.8857, 1.9771, 5.1165, 5.2700, 3.8361, 4.8987, 3.9473, 3.7473, 4.4552, 5.5889]
For Example 66, The full renyi 0.5 token for inst_desp method is: [5.9189, 2.6924, 5.1232, 3.8325, 6.3097, 4.7279, 1.7082, 0.7307, 4.4502, 4.7940, 5.8213, 6.2827, 7.9063, 3.8734, 1.9379, 1.9924, 3.2553, 2.4269, 5.1928, 5.2335, 1.9767, 4.9767, 3.3317, 4.4646, 5.4437, 4.7493, 4.9356, 5.7248, 5.6211, 0.8525, 2.0730, 4.6320, 2.4498, 3.1320, 0.6317, 2.4777, 4.7849, 5.6919, 0.8816, 5.6971, 4.2732, 4.4708, 4.6297, 4.8787, 5.4555, 3.2027]
