For Example 47, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0093, 0.0126, 0.0000, 0.0433, 0.3944, 0.2210, 0.1818, 0.0000, 0.0910, 0.4789, 0.1066, 0.7300, 0.0001, 0.0498, 0.0475, 0.0604, 0.0036, 0.0543, 0.0001, 0.0257, 0.0141, 0.0215, 0.0069, 0.0769, 0.0471, 0.2439, 0.0930, 0.0070, 0.0038, 0.0154, 0.0069, 0.0127]
For Example 50, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0006, 0.0026, 0.0000, 0.0000, 0.0004, 0.0152, 0.0114, 0.0014, 0.0185, 0.0000, 0.0101, 0.0101, 0.0050, 0.0447, 0.0000, 0.0195, 0.0014, 0.0000, 0.0060, 0.0089, 0.0024, 0.0139, 0.0161, 0.0000, 0.0000, 0.0000, 0.0307, 0.0036, 0.0002, 0.0042, 0.0030, 0.0027]
For Example 52, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0049, 0.0220, 0.2609, 0.2015, 0.0489, 0.3919, 0.2438, 0.0845, 0.3245, 0.5414, 0.7493, 0.0789, 0.0755, 0.0281, 0.0150, 0.0465, 0.0154, 0.0969, 0.0001, 0.0161, 0.0556, 0.0168, 0.0023, 0.2469, 0.0697, 0.0078, 0.0000, 0.0046, 0.0239, 0.0017, 0.0297, 0.0000]
For Example 58, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0035, 0.0457, 0.0098, 1.1230, 0.3589, 0.0637, 0.0618, 0.2689, 0.0000, 0.0143, 0.0455, 0.1711, 0.0720, 0.3055, 0.0032, 0.0344, 0.0227, 0.0001, 0.0019, 0.0025, 0.0506, 0.0588, 0.0336, 0.2639, 0.0000, 0.0315, 0.0580, 0.0309, 0.0012, 0.0017, 0.0446, 0.0083]
For Example 60, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0110, 0.0284, 0.0107, 0.6529, 0.3903, 0.4489, 0.1339, 0.0469, 0.3524, 0.2073, 0.7136, 0.0082, 0.2034, 0.0988, 0.0126, 0.0869, 0.1016, 0.0330, 0.2856, 0.0031, 0.1794, 0.0035, 0.0477, 0.0023, 0.0196, 0.0008, 0.0065, 0.0518, 0.0237, 0.0001, 0.0105, 0.0021]
For Example 61, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0024, 0.0066, 0.0017, 0.0799, 0.0001, 0.0000, 0.0038, 0.0055, 0.2091, 0.0001, 0.0759, 0.0640, 0.2387, 0.6560, 0.0306, 0.0301, 0.0664, 0.0604, 0.0405, 0.3217, 0.0385, 0.4638, 0.2668, 0.0138, 0.0021, 0.0173, 0.0185, 0.0268, 0.0031, 0.0009, 0.0010, 0.0001]
For Example 63, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0077, 0.0268, 0.0041, 0.0439, 0.1781, 0.0153, 0.0000, 0.1757, 0.0000, 0.0743, 0.0073, 0.0203, 0.0289, 0.0634, 0.1580, 0.0830, 0.0001, 0.0740, 0.0059, 0.0249, 0.0303, 0.0221, 0.0909, 0.0000, 0.0240, 0.0115, 0.0561, 0.0004, 0.0138, 0.0298, 0.0027, 0.0161]
For Example 65, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0226, 0.0529, 0.0134, 0.0117, 0.0001, 0.0000, 0.0278, 0.0065, 0.0570, 1.2781, 0.0855, 0.0563, 0.1308, 0.1412, 0.0578, 0.1508, 0.0153, 0.0256, 0.3149, 0.0911, 0.0790, 0.0102, 0.0015, 0.0428, 0.1306, 0.0213, 0.0685, 0.0310, 0.0126, 0.0315, 0.0522, 0.0000]
For Example 66, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0015, 0.0520, 0.0060, 0.0735, 0.1301, 0.0016, 0.0855, 0.0217, 0.0473, 0.1118, 0.0356, 0.0704, 0.0555, 0.2030, 0.0000, 0.0030, 0.0096, 0.0024, 0.0126, 0.0000, 0.0006, 0.0217, 0.0620, 0.0000, 0.2996, 0.2091, 0.0280, 0.0564, 0.0925, 0.0616, 0.0071, 0.0000]
For Example 67, Average KL-DV of Tokens Across Perturbations for desp method is: [0.0039, 0.0376, 0.0066, 0.0163, 0.0000, 0.0000, 0.0102, 0.0078, 0.0148, 0.3102, 0.4193, 0.4760, 0.0771, 0.0303, 0.1093, 0.1134, 0.0340, 0.0013, 0.0363, 0.0020, 0.0828, 0.1383, 0.0070, 0.1049, 0.0062, 0.3548, 0.0377, 0.0279, 0.0661, 0.0233, 0.0136, 0.0172]
